215,  0.83594 -0.031738 -0.056152 1.009277 1.562500 -1.250000 0.437500 0.214844 0.033691 -0.446289;
216,  0.83984 -0.003906 -0.056152 0.978027 1.437500 -1.125000 0.375000 0.214844 0.033691 -0.446289;
217,  0.84375 -0.012207 -0.056152 0.993652 1.312500 -1.250000 0.187500 0.212402 0.023438 -0.443848;
218,  0.84766 -0.012207 -0.040527 1.016602 1.750000 -1.000000 0.062500 0.212402 0.023438 -0.443848;
219,  0.85156 -0.027832 -0.052246 0.981934 1.625000 -0.875000 0.250000 0.212402 0.023438 -0.443848;
220,  0.85547 -0.023926 -0.063965 0.985840 1.750000 -0.500000 0.187500 0.212402 0.023438 -0.443848;
221,  0.85938 -0.007812 -0.048340 0.985840 1.937500 -0.500000 0.187500 0.222656 0.025879 -0.458984;
222,  0.86328 -0.007812 -0.060059 1.016602 1.375000 -0.187500 0.312500 0.222656 0.025879 -0.458984;
223,  0.86719 -0.023926 -0.052246 1.001465 1.187500 -0.437500 0.125000 0.222656 0.025879 -0.458984;
224,  0.87109 0.011230 -0.056152 0.993652 1.250000 -0.875000 0.187500 0.220215 0.033691 -0.441406;
225,  0.87500 -0.016113 -0.040527 1.001465 0.375000 -0.812500 -0.125000 0.220215 0.033691 -0.441406;
226,  0.87891 -0.016113 -0.071777 0.993652 0.187500 -0.687500 -0.125000 0.220215 0.033691 -0.441406;
227,  0.88281 -0.016113 -0.036621 1.005371 0.250000 -1.062500 -0.062500 0.220215 0.033691 -0.441406;
228,  0.88672 -0.012207 -0.044434 1.001465 0.375000 -1.062500 -0.312500 0.220215 0.033691 -0.441406;
229,  0.89062 -0.012207 -0.044434 0.989746 0.062500 -1.312500 0.000000 0.220215 0.033691 -0.441406;
230,  0.89453 -0.003906 -0.044434 1.009277 0.187500 -1.375000 -0.312500 0.220215 0.033691 -0.441406;
231,  0.89844 0.000000 -0.052246 1.009277 0.500000 -1.625000 -0.375000 0.222656 0.036133 -0.441406;
232,  0.90234 0.000000 -0.048340 1.009277 0.500000 -1.562500 -0.687500 0.222656 0.036133 -0.441406;
233,  0.90625 -0.012207 -0.040527 0.985840 0.687500 -1.875000 -0.875000 0.222656 0.036133 -0.441406;
234,  0.91016 -0.023926 -0.052246 0.989746 0.625000 -2.062500 -0.875000 0.222656 0.033691 -0.448730;
235,  0.91406 -0.020020 -0.036621 1.009277 1.562500 -2.062500 -1.062500 0.222656 0.033691 -0.448730;
236,  0.91797 -0.003906 -0.056152 0.981934 1.812500 -1.937500 -1.187500 0.222656 0.033691 -0.448730;
237,  0.92188 -0.020020 -0.060059 1.012695 2.500000 -1.812500 -1.187500 0.222656 0.033691 -0.448730;
238,  0.92578 -0.031738 -0.052246 0.993652 2.687500 -1.312500 -1.437500 0.214844 0.033691 -0.441406;
239,  0.92969 -0.007812 -0.044434 0.985840 2.875000 -0.812500 -1.312500 0.214844 0.033691 -0.441406;
240,  0.93359 0.007324 -0.036621 1.009277 2.687500 -0.562500 -1.312500 0.214844 0.033691 -0.441406;
241,  0.93750 -0.023926 -0.036621 1.005371 2.937500 0.000000 -1.000000 0.209961 0.043457 -0.446289;
242,  0.94141 -0.031738 -0.052246 1.005371 3.125000 0.375000 -1.125000 0.209961 0.043457 -0.446289;
